imdb_title_id,title,year,genre,duration,avg_vote
tt0307077,Mein erstes Wunder,2002,Drama,90,7
tt0307109,The Lost Skeleton of Cadavra,2001,"Comedy, Horror, Sci-Fi",90,7
tt0307453,Shark Tale,2004,"Animation, Adventure, Comedy",90,6
tt0307538,Swing,2002,"Comedy, Drama, Music",90,7.3
tt0307568,Cuore di lupo,2002,Drama,87,6.3
tt0307913,Abouna,2002,Drama,84,6.6
tt0308058,A Bomba,2002,"Action, Comedy",90,6.5
tt0308129,Conspiracy of Silence,2003,"Crime, Drama, Thriller",90,6.4
tt0308152,Dead End,2003,"Adventure, Horror, Mystery",85,6.6
tt0308363,Aspettando la felicità,2002,"Drama, Music",90,6.7
tt0308365,Herz über Kopf,2001,"Drama, Romance",90,6.6
tt0308411,Interview with the Assassin,2002,Drama,88,6.5
tt0309114,Ének a csodaszarvasról,2002,"Animation, Fantasy, History",89,7
tt0309291,Aoi haru,2001,Drama,83,7.3
tt0309404,Bungalow,2002,Drama,85,6.6
tt0309593,Final Destination 2,2003,"Horror, Thriller",90,6.2
tt0309698,Identità,2003,"Mystery, Thriller",90,7.3
tt0309832,Maléfique,2002,"Fantasy, Horror, Mystery",90,6.4
tt0309897,Nada,2001,"Comedy, Romance",90,6.3
tt0310029,Pulsação Zero,2002,"Action, Comedy, Crime",83,7
tt0310154,Cose di questo mondo,2002,Drama,88,7.3
tt0310203,Sta' zitto... non rompere,2003,"Comedy, Crime",85,7.1
tt0310826,"Bus, jeong ryu-jang",2002,"Drama, Romance",90,6.2
tt0311081,Ernstfall in Havanna,2002,Comedy,86,6.4
tt0311403,Klassenfahrt,2002,"Drama, Romance",86,6.5
tt0311539,To monon tis zois tou taxeidion,2001,"Biography, Drama",87,7
tt0312004,Wallace & Gromit - La maledizione del coniglio mannaro,2005,"Animation, Adventure, Comedy",85,7.4
tt0312014,"Wesh wesh, qu'est-ce qui se passe?",2001,Drama,83,6.9
tt0312612,Des chiens dans la neige,2002,"Crime, Drama, Mystery",90,6.1
tt0313021,Der Wixxer,2004,"Comedy, Crime, Mystery",85,6.2
tt0313812,Yuk lui tim ding,2001,Comedy,90,6
tt0314111,Gojira X Mekagojira,2002,"Action, Family, Sci-Fi",88,6.7
tt0314366,Megamalhar,2001,"Musical, Romance",90,7.2
tt0315957,Hiçbiryerde,2002,Drama,90,6.6
tt0316188,Long Way Home,2002,"Drama, Romance",88,7.2
tt0316954,A+ Pollux,2002,"Comedy, Drama, Romance",90,6.1
tt0317269,Ku qi de nü ren,2002,"Drama, Comedy",90,7
tt0317476,L'angelo della spalla destra,2002,"Comedy, Drama, Fantasy",89,6.8
tt0317640,The Hebrew Hammer,2003,Comedy,85,6.1
tt0317842,Knafayim Shvurot,2002,Drama,87,7.4
tt0319470,The Guys,2002,Drama,84,6.3
tt0319683,Khab-e sefid,2002,"Comedy, Drama",90,7
tt0320668,Two Days,2003,Drama,87,6.3
tt0320795,Zvenenje v glavi,2002,Thriller,90,6.7
tt0321440,Vendette di famiglia,2003,Comedy,90,6.1
tt0322023,Piccole bugie travestite,2003,Comedy,90,6.5
tt0322189,Efapax,2001,Comedy,85,6.4
tt0322423,Glosniej od bomb,2001,"Comedy, Drama, Romance",87,6.8
tt0322621,Hey DJ,2003,"Comedy, Drama, Music",86,6.5
tt0322807,Jagoda: Fragole al supermarket,2003,"Action, Comedy, Adventure",83,6.5
tt0323103,"Long Life, Happiness & Prosperity",2002,"Comedy, Drama, Family",90,6.5
tt0323633,Melvin Goes to Dinner,2003,"Comedy, Drama, Romance",83,6.8
tt0324175,Te busco,2002,"Comedy, Drama, Romance",84,6.1
tt0325191,Sabah,2005,"Comedy, Drama, Romance",86,6.7
tt0325234,The Delicate Art of Parking,2003,Comedy,86,6.4
tt0325596,The I Inside,2004,"Mystery, Sci-Fi, Thriller",90,6.1
tt0325733,Was nützt die Liebe in Gedanken,2004,"Drama, Romance",89,7.1
tt0325734,Liegen lernen,2003,"Comedy, Drama, Romance",87,6.8
tt0326174,Smoking Room,2002,Drama,88,6.7
tt0327084,La gang del bosco,2006,"Animation, Adventure, Comedy",83,6.7
tt0327201,Il cuore criminale delle donne,2002,Drama,90,6
tt0327226,Verrückt nach Paris,2002,"Comedy, Drama",90,6.2
tt0327753,Funny Ha Ha,2002,"Comedy, Drama, Romance",85,6.5
tt0328077,Love Object,2003,"Drama, Horror, Romance",88,6.3
tt0328078,Love That Boy,2003,Drama,85,6.3
tt0328132,Menolippu Mombasaan,2002,"Comedy, Drama",88,6
tt0328390,Second Best,2004,Comedy,86,6
tt0328509,Le tango des Rashevski,2003,"Drama, Romance",90,6.6
tt0328727,Das Verlangen,2002,Drama,90,6.1
tt0328825,Al primo soffio di vento,2002,Drama,85,7.3
tt0328880,"Koda, fratello orso",2003,"Animation, Adventure, Comedy",85,6.8
tt0328901,Blue Moon,2002,"Adventure, Comedy, Romance",90,6.5
tt0329297,American Girl,2002,"Comedy, Crime, Drama",88,6
tt0329355,Marion Bridge,2002,Drama,90,6.7
tt0329429,Nizhalkkuthu,2002,Drama,90,7.2
tt0329485,Il miracolo della farfalla,2002,"Adventure, Comedy, Drama",85,7.2
tt0330073,Der Bockerer IV - Prager Frühling,2003,Drama,90,6
tt0330496,Joshua Oh Joshua,2001,"Comedy, Drama, Family",90,6.4
tt0330602,Mambo Italiano,2003,"Comedy, Drama, Romance",88,6.7
tt0331698,Milchwald,2003,Drama,87,6.6
tt0331811,Ore 11:14 - Destino fatale,2003,"Crime, Drama, Mystery",86,7.2
tt0332239,Le marais,2002,"Drama, Fantasy",85,6.4
tt0332260,Camel(s),2001,Drama,90,6.6
tt0332699,Mondo Meyer Upakhyan,2002,Drama,90,6.6
tt0332743,Salomé,2002,Musical,85,7
tt0333373,Due amici,2002,Drama,86,7
tt0333645,Istgah-Matrouk,2002,Drama,88,6.7
tt0333764,Incrocio d'amore,2002,"Drama, Romance",85,7.3
tt0334237,Rezervni deli,2003,Drama,87,6.9
tt0334551,Tu,2003,Drama,90,7
tt0336432,Filles uniques,2003,Comedy,85,6.2
tt0336910,9 Dead Gay Guys,2002,"Comedy, Crime",83,6.2
tt0337631,I ragazzi di Clare,2003,"Comedy, Music, Romance",90,6.5
tt0337857,The Beat,2003,"Action, Comedy, Drama",85,6
tt0338075,Grand Theft Parsons,2003,"Adventure, Comedy, Drama",88,6
